,date,running_banner,type,wish,rarity,weapon,element,sex
0,2020-09-29,Ballad in Goblets,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
1,2020-09-29,Ballad in Goblets,weapon,Raven Bow,3,Bow,None,None
2,2020-09-29,Ballad in Goblets,weapon,Raven Bow,3,Bow,None,None
3,2020-09-29,Ballad in Goblets,weapon,Magic Guide,3,Catalyst,None,None
4,2020-09-29,Ballad in Goblets,weapon,Emerald Orb,3,Catalyst,None,None
5,2020-09-29,Ballad in Goblets,weapon,Raven Bow,3,Bow,None,None
6,2020-09-29,Ballad in Goblets,weapon,Emerald Orb,3,Catalyst,None,None
7,2020-09-29,Ballad in Goblets,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
8,2020-09-29,Ballad in Goblets,weapon,Debate Club,3,Claymore,None,None
9,2020-09-29,Ballad in Goblets,weapon,Favonius Codex,4,Catalyst,None,None
10,2020-09-29,Ballad in Goblets,weapon,Magic Guide,3,Catalyst,None,None
11,2020-09-29,Ballad in Goblets,weapon,Bloodtainted Greatsword,3,Claymore,None,None
12,2020-09-29,Ballad in Goblets,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
13,2020-09-29,Ballad in Goblets,weapon,Harbinger of Dawn,3,Sword,None,None
14,2020-09-29,Ballad in Goblets,weapon,Magic Guide,3,Catalyst,None,None
15,2020-09-29,Ballad in Goblets,weapon,Harbinger of Dawn,3,Sword,None,None
16,2020-09-29,Ballad in Goblets,weapon,Raven Bow,3,Bow,None,None
17,2020-09-29,Ballad in Goblets,weapon,Slingshot,3,Bow,None,None
18,2020-09-29,Ballad in Goblets,weapon,Ferrous Shadow,3,Claymore,None,None
19,2020-09-29,Ballad in Goblets,char,Barbara,4,Catalyst,Hydro,F
20,2020-09-29,Ballad in Goblets,weapon,Slingshot,3,Bow,None,None
21,2020-09-29,Ballad in Goblets,weapon,Debate Club,3,Claymore,None,None
22,2020-09-29,Ballad in Goblets,weapon,Debate Club,3,Claymore,None,None
23,2020-09-29,Ballad in Goblets,weapon,Skyrider Sword,3,Sword,None,None
24,2020-09-29,Ballad in Goblets,weapon,Bloodtainted Greatsword,3,Claymore,None,None
25,2020-09-29,Ballad in Goblets,weapon,Harbinger of Dawn,3,Sword,None,None
26,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
27,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
28,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
29,2020-10-31,Sparkling Steps,char,Xingqiu,4,Sword,Hydro,M
30,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
31,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
32,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
33,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
34,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
35,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
36,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
37,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
38,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
39,2020-10-31,Sparkling Steps,weapon,The Flute,4,Sword,None,None
40,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
41,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
42,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
43,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
44,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
45,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
46,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
47,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
48,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
49,2020-10-31,Sparkling Steps,char,Sucrose,4,Catalyst,Anemo,F
50,2020-10-31,Sparkling Steps,weapon,Emerald Orb,3,Catalyst,None,None
51,2020-10-31,Sparkling Steps,char,Qiqi,5,Sword,Cryo,F
52,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
53,2020-10-31,Sparkling Steps,char,Klee,5,Catalyst,Pyro,F
54,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
55,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
56,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
57,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
58,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
59,2020-10-31,Sparkling Steps,weapon,Sacrificial Sword,4,Sword,None,None
60,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
61,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
62,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
63,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
64,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
65,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
66,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
67,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
68,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
69,2020-10-31,Sparkling Steps,char,Noelle,4,Claymore,Geo,F
70,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
71,2020-10-31,Sparkling Steps,char,Klee,5,Catalyst,Pyro,F
72,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
73,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
74,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
75,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
76,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
77,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
78,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
79,2020-10-31,Sparkling Steps,char,Sucrose,4,Catalyst,Anemo,F
80,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
81,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
82,2020-10-31,Sparkling Steps,weapon,Rainslasher,4,Claymore,None,None
83,2020-10-31,Sparkling Steps,char,Sucrose,4,Catalyst,Anemo,F
84,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
85,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
86,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
87,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
88,2020-10-31,Sparkling Steps,char,Noelle,4,Claymore,Geo,F
89,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
90,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
91,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
92,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
93,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
94,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
95,2020-10-31,Sparkling Steps,weapon,Emerald Orb,3,Catalyst,None,None
96,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
97,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
98,2020-10-31,Sparkling Steps,weapon,The Widsith,4,Catalyst,None,None
99,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
100,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
101,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
102,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
103,2020-10-31,Sparkling Steps,char,Noelle,4,Claymore,Geo,F
104,2020-10-31,Sparkling Steps,char,Noelle,4,Claymore,Geo,F
105,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
106,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
107,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
108,2020-10-31,Sparkling Steps,weapon,Harbinger of Dawn,3,Sword,None,None
109,2020-10-31,Sparkling Steps,weapon,Harbinger of Dawn,3,Sword,None,None
110,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
111,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
112,2020-10-31,Sparkling Steps,char,Kaeya,4,Sword,Cryo,M
113,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
114,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
115,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
116,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
117,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
118,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
119,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
120,2020-10-31,Sparkling Steps,char,Sucrose,4,Catalyst,Anemo,F
121,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
122,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
123,2020-10-31,Sparkling Steps,weapon,Slingshot,3,Bow,None,None
124,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
125,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
126,2020-10-31,Sparkling Steps,weapon,Emerald Orb,3,Catalyst,None,None
127,2020-10-31,Sparkling Steps,weapon,Bloodtainted Greatsword,3,Claymore,None,None
128,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
129,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
130,2020-10-31,Sparkling Steps,char,Noelle,4,Claymore,Geo,F
131,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
132,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
133,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
134,2020-10-31,Sparkling Steps,weapon,Ferrous Shadow,3,Claymore,None,None
135,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
136,2020-10-31,Sparkling Steps,weapon,Emerald Orb,3,Catalyst,None,None
137,2020-10-31,Sparkling Steps,weapon,Skyrider Sword,3,Sword,None,None
138,2020-10-31,Sparkling Steps,weapon,Black Tassel,3,Polearm,None,None
139,2020-10-31,Sparkling Steps,weapon,Magic Guide,3,Catalyst,None,None
140,2020-10-31,Sparkling Steps,weapon,Favonius Warbow,4,Bow,None,None
141,2020-10-31,Sparkling Steps,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
142,2020-10-31,Sparkling Steps,weapon,Sharpshooter's Oath,3,Bow,None,None
143,2020-10-31,Sparkling Steps,weapon,Raven Bow,3,Bow,None,None
144,2020-10-31,Sparkling Steps,weapon,Cool Steel,3,Sword,None,None
145,2020-10-31,Sparkling Steps,weapon,Debate Club,3,Claymore,None,None
